id,nome,siglaPartido,siglaUf,idLegislatura
204452,Márcio Labre,PSL,RJ,56
160542,Márcio Macêdo,PT,SE,56
150418,Márcio Marinho,PRB,BA,56
204522,Marco Bertaiolli,PSD,SP,56
219585,Marco Brasil,PP,PR,56
133373,Marco Maia,PT,RS,56
160535,Marcon,PT,RS,56
204431,Marcos Aurélio Sampaio,MDB,PI,56
204011,Marcos Pacco,PODE,DF,56
204506,Marcos Pereira,PRB,SP,56
178943,Marcos Soares,DEM,RJ,56
204430,Margarete Coelho,PP,PI,56
171619,Margarida Salomão,PT,MG,56
74398,Maria do Rosário,PT,RS,56
204540,Maria Rosas,PRB,SP,56
178956,Mariana Carvalho,PSDB,RO,56
204428,Marília Arraes,PT,PE,56
204432,Marina Santos,PTC,PI,56
74158,Mário Heringer,PDT,MG,56
178858,Mário Negromonte Jr.,PP,BA,56
204403,Marlon Santos,PDT,RS,56
204566,Marreca Filho,PATRI,MA,56
178843,Marx Beltrão,PSD,AL,56
75431,Maurício Dziedricki,PTB,RS,56
204486,Mauro Benevides Filho,PDT,CE,56
74749,Mauro Lopes,MDB,MG,56
141508,Mauro Nazif,PSB,RO,56
188097,Merlong Solano,PT,PI,56
178984,Miguel Haddad,PSDB,SP,56
178985,Miguel Lombardi,PR,SP,56
92172,Milton Coelho,PSB,PE,56
154178,Milton Vieira,PRB,SP,56
178895,Misael Varella,PSD,MG,56
178997,Moses Rodrigues,MDB,CE,56
204453,Natália Bonavides,PT,RN,56
218879,Nelho Bezerra,PROS,CE,56
204449,Nelson Barbudo,PSL,MT,56
74571,Nelson Pellegrino,PT,BA,56
204415,Nereu Crispim,PSL,RS,56
146307,Neri Geller,PP,MT,56
74165,Neucimar Fraga,PSD,ES,56
178896,Newton Cardoso Jr,MDB,MG,56
204384,Ney Leprevost,PSD,PR,56
204479,Nicoletti,PSL,RR,56
214445,Nilson F. Stainsack,PP,SC,56
74352,Nilson Pinto,PSDB,PA,56
178986,Nilto Tatto,PT,SP,56
194260,Nivaldo Albuquerque,PTB,AL,56
66179,Norma Ayub,DEM,ES,56
216198,Norma Pereira,PSDB,SC,56
